"ENTITY_CD","ACCOUNTABILITYMEASURE","NUM_ENROLL","NUM_PARTIC","PER_PARTIC","MET_PERF","PI_G_RATE","CURRENT_SH_TARGET","AYP"
"310100010034","Elementary/Middle-Level ELA","255","250","98","Y","103",NULL,"YES"
"310100010034","Elementary/Middle-Level MATH","255","250","98","N","82","94","NO"
"310100010034","Elementary/Middle-Level Science","84","83","99","N","140","143","NO"
"310100010140","Elementary/Middle-Level ELA","248","245","99","YSH","87","80","YSH"
"310100010140","Elementary/Middle-Level MATH","247","245","99","N","72","86","NO"
"310100010140","Elementary/Middle-Level Science","91","91","100","N","134","138","NO"
"310100010184","Elementary/Middle-Level ELA","389","387","99","Y","161",NULL,"YES"
"310100010184","Elementary/Middle-Level MATH","388","386","99","Y","177",NULL,"YES"
"310100010184","Elementary/Middle-Level Science","111","109","98","Y","196",NULL,"YES"
"310100010188","Elementary/Middle-Level ELA","285","282","99","YSH","80","70","YSH"
"310100010188","Elementary/Middle-Level MATH","286","283","99","N","89","92","YES"
"310100010188","Elementary/Middle-Level Science","88","85","97","N","153","176","NO"
"310100010301","Elementary/Middle-Level ELA","145","140","97","Y","98",NULL,"YES"
"310100010301","Elementary/Middle-Level MATH","144","138","96","N","41","52","NO"
"310100010301","Elementary/Middle-Level Science","50","46","92","Y","123","121","YES"
"310100010332","Elementary/Middle-Level ELA","102","98","96","Y","93",NULL,"YES"
"310100010332","Elementary/Middle-Level MATH","101","97","96","N","49","74","NO"
"310100010345","Elementary/Middle-Level ELA","84","83","99","N","86","93","YES"
"310100010345","Elementary/Middle-Level MATH","84","82","98","N","42","84","NO"
"310100010378","Elementary/Middle-Level ELA","233","231","99","Y","99",NULL,"YES"
"310100010378","Elementary/Middle-Level MATH","233","230","99","Y","102",NULL,"YES"
"310100010378","Elementary/Middle-Level Science","76","75","99","N","140","151","NO"
"310100011539","Elementary/Middle-Level ELA","718","705","98","Y","193",NULL,"YES"
"310100011539","Elementary/Middle-Level MATH","718","708","99","Y","197",NULL,"YES"
"310100011539","Elementary/Middle-Level Science","242","241","100","Y","198",NULL,"YES"
"310100860866","Elementary/Middle-Level ELA","372","372","100","Y","143",NULL,"YES"
"310100860866","Elementary/Middle-Level MATH","372","372","100","Y","132",NULL,"YES"
"310100860866","Elementary/Middle-Level Science","116","113","97","Y","192",NULL,"YES"
"310100861055","Elementary/Middle-Level ELA","201","198","99","Y","106",NULL,"YES"
"310100861055","Elementary/Middle-Level MATH","201","199","99","Y","113",NULL,"YES"
"310100861055","Elementary/Middle-Level Science","65","65","100","Y","169","1","YES"
"310200010104","Elementary/Middle-Level ELA","1080","1060","98","Y","155",NULL,"YES"
"310200010104","Elementary/Middle-Level MATH","1082","1049","97","Y","155",NULL,"YES"
"310200010104","Elementary/Middle-Level Science","332","316","95","N","176","181","NO"
"310200010114","Elementary/Middle-Level ELA","435","431","99","Y","193",NULL,"YES"
"310200010114","Elementary/Middle-Level MATH","436","431","99","Y","195",NULL,"YES"
"310200010114","Elementary/Middle-Level Science","149","146","98","Y","195",NULL,"YES"
