"ENTITY_CD","ENTITY_NAME",YEAR,6,7,8,GRADE_8_MATH,GRADE_8_SCI,GRADE_8_ENGLISH,GRADE_8_SS
"307500011169","P.S. 169 ROBERT F. KENNEDY SCHOOL",2016,19,19,35,3,2,3,3
"307500011811","PS 811M - MICKEY MANTLE SCHOOL",2016,21,20,14,NULL,NULL,NULL,NULL
"307500012017","P.S.  17",2016,17,23,37,8,12,2,4
"307500012176","P.S. 176",2016,22,8,7,NULL,NULL,NULL,NULL
"307500012186","P.S. 186 WALTER J. DAMROSCH SCHOOL",2016,31,41,32,1,1,1,1
"307500012723","SCHOOL 723",2016,40,40,35,9,NULL,5,5
"307500013036","P.S.  36",2016,19,22,26,NULL,NULL,NULL,2
"307500013053","P.S.  53",2016,8,6,8,NULL,NULL,NULL,NULL
"307500013140","P.S. 140",2016,14,15,15,NULL,1,NULL,NULL
"307500013368","P.S. 368",2016,9,20,32,5,6,5,3
"307500013369","P.S. 369 COY L. COX SCHOOL",2016,36,49,41,1,1,1,NULL
"307500014009","WALTER REED SCHOOL",2016,21,23,31,NULL,NULL,NULL,NULL
"307500014023","P.S.  23 AT HILLSIDE PSYCH HOSPITAL",2016,16,23,25,NULL,NULL,NULL,NULL
"307500014075","ROBERT E. PEARY SCHOOL",2016,25,14,17,NULL,NULL,NULL,NULL
"307500014224","P.S. 224",2016,15,14,12,NULL,3,NULL,3
"307500014256","P.S. 256",2016,8,16,26,3,2,1,2
"307500014277","RIVERVIEW SCHOOL (THE)",2016,4,0,5,NULL,1,NULL,1
"307500015025","PS/IS 25 SOUTH RICHMOND HS",2016,46,53,54,NULL,NULL,NULL,NULL
"310100010034","PS 34 FRANKLIN D ROOSEVELT",2016,61,60,50,26,40,26,40
"310100010140","PS 140 NATHAN STRAUS",2016,69,46,72,22,34,22,34
"310100010184","PS 184 SHUANG WEN",2016,84,77,51,26,26,26,NULL
"310100010188","PS 188 ISLAND SCHOOL (THE)",2016,54,60,62,33,18,NULL,30
"310100010301","TECHNOLOGY, ARTS AND SCIENCES STUDIO SCHOOL",2016,47,55,56,28,28,NULL,28
"310100010332","UNIVERSITY NEIGHBORHOOD MIDDLE SCHOOL",2016,37,34,36,17,17,23,40
"310100010345","COLLABORATIVE ACAD OF SCIENCE, TECHNOLOGY AND LANGUAGE ARTS ED",2016,34,40,30,29,29,29,29
"310100010378","SCHOOL FOR GLOBAL LEADERS",2016,100,81,77,20,22,23,NULL
"310100010839","TOMPKINS SQUARE MIDDLE SCHOOL",2016,127,124,121,31,31,NULL,NULL
"310100011450","EAST SIDE COMMUNITY SCHOOL",2016,96,104,93,NULL,18,34,20
"310100011539","NEW EXPLORATIONS INTO SCIENCE,TECH AND MATH HIGH SCHOOL",2016,142,122,138,34,33,28,34
"310100860866","GIRLS PREPARATORY CHARTER SCHOOL OF NEW YORK",2016,68,45,45,20,NULL,23,NULL
"310100861055","GREAT OAKS CHARTER SCHOOL",2016,65,78,67,NULL,NULL,25,NULL
"310200010104","JHS 104 SIMON BARUCH",2016,363,400,348,30,32,29,29
"310200010114","EAST SIDE MIDDLE SCHOOL",2016,149,142,150,17,29,NULL,NULL
"310200010126","PS 126 JACOB AUGUST RIIS",2016,121,109,109,28,28,28,28
"310200010131","MS 131",2016,108,164,139,26,25,30,25
"310200010167","JHS 167 ROBERT F WAGNER",2016,436,426,480,32,32,32,32
"310200010217","PS/IS 217 ROOSEVELT ISLAND",2016,21,25,17,17,17,17,NULL
"310200010255","MS 255 SALK SCHOOL OF SCIENCE",2016,129,121,124,31,31,31,NULL
"310200010260","MS 260 CLINTON SCHOOL WRITERS & ARTISTS",2016,93,92,100,33,33,33,33
"310200010276","BATTERY PARK CITY SCHOOL",2016,93,91,65,33,32,31,33
"310200010289","IS 289",2016,99,99,90,30,30,30,30
"310200010312","NYC LAB MS FOR COLLABORATIVE STUDIES",2016,190,176,184,34,32,NULL,NULL
"310200010347","47 AMERICAN SIGN LANGUAGE AND ENGLISH LOWER SCHOOL (THE)",2016,10,7,12,9,9,NULL,NULL
"310200010397","SPRUCE STREET SCHOOL",2016,63,0,0,NULL,NULL,NULL,NULL
"310200010413","SCHOOL OF THE FUTURE HIGH SCHOOL",2016,112,95,103,28,27,NULL,26
